Batter,career_runs,career_balls,career_sr,sr_powerplay,sr_middle,sr_death,balls_powerplay,balls_middle,balls_death,shrunk_career_sr,shrunk_sr_powerplay,shrunk_sr_middle,shrunk_sr_death
A Ashish Reddy,266,181,147.0,83.3,148.8,149.3,6.0,41.0,134.0,138.7,107.7,122.6,149.5
A Badoni,340,268,126.9,42.9,114.3,150.4,21.0,112.0,135.0,126.0,97.7,113.1,150.1
A Chandila,4,7,57.1,,,57.1,,,7.0,119.3,109.2,111.8,143.7
A Chopra,53,71,74.6,69.2,83.3,50.0,39.0,30.0,2.0,103.3,98.0,105.3,147.8
A Choudhary,25,20,125.0,,,125.0,,,20.0,123.9,109.2,111.8,145.7
A Dananjaya,4,5,80.0,,,80.0,,,5.0,121.6,109.2,111.8,146.5
A Flintoff,62,53,117.0,107.7,100.0,147.1,13.0,23.0,17.0,121.3,109.0,109.6,149.4
A Kumble,35,47,74.5,,20.0,81.0,,5.0,42.0,107.9,109.2,107.5,129.5
A Manohar,222,158,140.5,100.0,126.5,166.7,12.0,83.0,63.0,134.0,108.2,118.5,156.3
A Mishra,381,417,91.4,20.0,73.2,104.8,5.0,164.0,248.0,97.6,105.0,87.8,117.7
A Mithun,34,26,130.8,,125.0,135.7,,12.0,14.0,125.1,109.2,113.3,148.1
A Mukund,19,22,86.4,93.3,83.3,0.0,15.0,6.0,1.0,116.9,107.1,110.2,148.3
A Nehra,41,60,68.3,,,68.3,,,60.0,102.9,109.2,111.8,119.2
A Nortje,42,40,105.0,,,105.0,,,40.0,118.3,109.2,111.8,137.0
A Singh,2,9,22.2,,0.0,28.6,,2.0,7.0,115.3,109.2,109.7,141.9
A Symonds,974,745,130.7,87.8,126.6,161.0,82.0,481.0,182.0,129.9,99.6,124.1,157.0
A Tomar,4,8,50.0,50.0,,,8.0,,,118.2,104.8,111.8,149.8
A Uniyal,4,7,57.1,,,57.1,,,7.0,119.3,109.2,111.8,143.7
A Zampa,15,24,62.5,,64.3,60.0,,14.0,10.0,111.8,109.2,106.0,141.6
AA Bilakhia,69,84,82.1,74.2,50.0,109.1,31.0,20.0,33.0,104.7,100.9,101.5,139.7
AA Chavan,12,11,109.1,,33.3,137.5,,3.0,8.0,122.2,109.2,109.6,148.9
AA Jhunjhunwala,217,209,103.8,70.6,99.2,138.0,34.0,125.0,50.0,110.2,99.4,104.8,145.9
AA Noffke,9,10,90.0,,90.0,,,10.0,,120.6,109.2,109.9,149.8
AB Agarkar,178,150,118.7,153.8,72.3,137.8,13.0,47.0,90.0,120.7,114.3,99.2,144.1
AB Barath,42,42,100.0,128.6,95.7,40.0,14.0,23.0,5.0,116.7,111.6,108.8,144.6
AB Dinda,26,48,54.2,,75.0,50.0,,8.0,40.0,101.1,109.2,109.1,121.3
AB McDonald,123,98,125.5,157.9,81.2,127.0,19.0,16.0,63.0,124.6,117.0,107.6,141.0
AB de Villiers,5001,3288,152.1,117.8,131.4,225.0,573.0,1904.0,811.0,151.3,116.5,130.4,216.7
AC Blizzard,120,90,133.3,130.3,150.0,,76.0,14.0,,128.2,118.3,116.5,149.8
AC Gilchrist,2069,1483,139.5,135.0,146.1,196.9,1026.0,425.0,32.0,138.5,132.7,139.6,161.2
AC Thomas,20,19,105.3,,,105.3,,,19.0,120.7,109.2,111.8,142.7
AC Voges,181,143,126.6,77.8,114.1,151.8,9.0,78.0,56.0,125.4,106.6,112.8,150.5
AD Hales,148,117,126.5,142.5,91.9,,80.0,37.0,,125.2,124.0,106.5,149.8
AD Mascarenhas,52,50,104.0,200.0,66.7,120.0,2.0,18.0,30.0,117.1,111.0,105.0,142.9
AD Mathews,723,570,126.8,58.8,103.2,155.1,17.0,279.0,274.0,126.3,101.9,105.5,153.7
AD Nath,90,98,91.8,100.0,91.9,88.0,11.0,62.0,25.0,107.9,108.3,104.2,137.4
AD Russell,2191,1250,175.3,264.3,157.1,192.2,14.0,632.0,604.0,171.5,128.2,150.9,186.2
AF Milne,23,29,79.3,,66.7,85.0,,9.0,20.0,113.7,109.2,108.1,139.0
AG Murtaza,10,14,71.4,,,71.4,,,14.0,117.2,109.2,111.8,140.2
AG Paunikar,49,55,89.1,89.1,,,55.0,,,111.4,102.1,111.8,149.8
AJ Finch,2039,1585,128.6,114.6,136.9,158.4,759.0,648.0,178.0,128.3,114.0,133.6,155.3
AJ Hosein,16,10,160.0,,,160.0,,,10.0,127.0,109.2,111.8,150.7
AJ Turner,3,10,30.0,,,30.0,,,10.0,115.1,109.2,111.8,138.9
AJ Tye,66,64,103.1,,131.2,93.8,,16.0,48.0,115.6,109.2,114.5,131.6
AK Markram,775,589,131.6,65.2,129.2,184.3,66.0,421.0,102.0,130.4,91.7,125.9,167.2
AL Menaria,401,354,113.3,100.0,110.4,124.4,8.0,268.0,78.0,115.6,108.5,110.8,138.7
AM Nayar,672,573,117.3,91.7,96.7,159.0,72.0,306.0,195.0,118.2,101.9,100.4,155.9
AM Rahane,4254,3448,123.4,117.5,123.1,160.3,1807.0,1344.0,297.0,123.4,117.1,122.3,157.7
AN Ahmed,36,26,138.5,,,138.5,,,26.0,126.7,109.2,111.8,147.5
AN Ghosh,7,8,87.5,100.0,0.0,,7.0,1.0,,121.0,108.6,110.7,149.8
AP Dole,34,22,154.5,,50.0,165.0,,2.0,20.0,129.2,109.2,110.6,152.3
AP Majumdar,87,76,114.5,140.0,110.3,66.7,15.0,58.0,3.0,119.7,113.2,111.3,147.4
AP Tare,339,272,124.6,112.4,162.2,153.8,201.0,45.0,26.0,124.3,111.3,127.5,150.6
AR Bawne,12,12,100.0,,,100.0,,,12.0,121.1,109.2,111.8,144.5
AR Patel,1400,1064,131.6,72.2,110.1,156.1,18.0,534.0,512.0,130.9,103.6,110.4,155.1
AS Joseph,27,32,84.4,,100.0,82.8,,3.0,29.0,114.1,109.2,111.5,134.7
AS Rajpoot,26,41,63.4,,20.0,69.4,,5.0,36.0,106.1,109.2,107.5,128.5
AS Raut,173,154,112.3,116.7,115.5,110.0,6.0,58.0,90.0,116.8,109.6,113.2,130.9
AS Roy,23,21,109.5,80.0,0.0,146.2,5.0,3.0,13.0,121.2,107.8,108.6,149.4
AS Yadav,49,39,125.6,,100.0,134.5,,10.0,29.0,124.2,109.2,110.8,146.4
AT Carey,32,29,110.3,,,110.3,,,29.0,120.6,109.2,111.8,140.9
AT Rayudu,4348,3391,128.2,106.7,121.4,170.4,728.0,1971.0,692.0,128.1,107.0,120.9,167.8
AU Rashid,22,15,146.7,,150.0,133.3,,12.0,3.0,126.7,109.2,115.9,149.3
AUK Pathan,39,23,169.6,280.0,137.5,140.0,5.0,8.0,10.0,132.2,117.3,113.8,148.9
Abdul Basith,1,1,100.0,,,100.0,,,1.0,123.4,109.2,111.8,149.3
Abdul Samad,372,269,138.3,,111.7,157.0,,111.0,158.0,134.3,109.2,111.8,154.2
Abdur Razzak,0,2,0.0,,,0.0,,,2.0,121.2,109.2,111.8,146.9
Abhishek Sharma,886,639,138.7,133.4,136.7,159.6,311.0,229.0,99.0,136.7,127.5,129.1,154.7
Abishek Porel,33,31,106.5,100.0,133.3,66.7,1.0,18.0,12.0,119.6,109.1,115.1,140.9
Akash Deep,17,10,170.0,,250.0,150.0,,2.0,8.0,127.9,109.2,114.6,149.8
Aman Hakim Khan,115,104,110.6,80.0,89.7,143.9,5.0,58.0,41.0,117.0,107.8,103.7,148.1
