Bowler,b_runs,b_balls,b_wickets,career_economy,career_wicket_rate,eco_powerplay,eco_middle,eco_death,bballs_powerplay,bballs_middle,bballs_death,shrunk_career_eco,shrunk_eco_powerplay,shrunk_eco_middle,shrunk_eco_death
A Ashish Reddy,393,256,18,9.21,0.422,20.0,8.21,10.04,6.0,149.0,101.0,9.07,9.2,8.15,10.11
A Badoni,12,13,2,5.54,0.923,0.0,6.0,,1.0,12.0,,7.94,7.98,7.67,10.23
A Chandila,245,234,11,6.28,0.282,5.79,7.14,6.0,144.0,84.0,6.0,6.72,6.47,7.5,9.84
A Choudhary,144,101,5,8.55,0.297,7.67,8.49,10.0,36.0,41.0,24.0,8.52,7.95,8.2,10.16
A Dananjaya,47,24,0,11.75,0.0,12.0,11.67,,6.0,18.0,,9.4,8.47,8.85,10.23
A Flintoff,106,66,2,9.64,0.182,10.5,5.2,14.75,12.0,30.0,24.0,9.08,8.51,7.07,11.52
A Kumble,1089,965,49,6.77,0.305,5.0,6.8,7.8,108.0,690.0,167.0,6.87,6.11,6.9,8.44
A Mishra,4091,3287,179,7.47,0.327,7.57,7.06,9.58,138.0,2646.0,503.0,7.49,7.74,7.08,9.65
A Mithun,477,288,8,9.94,0.167,9.55,9.04,11.92,66.0,144.0,78.0,9.68,8.87,8.73,11.18
A Nehra,2506,1884,120,7.98,0.382,7.61,7.43,9.05,1075.0,282.0,526.0,7.99,7.64,7.53,9.17
A Nel,31,18,1,10.33,0.333,12.0,11.0,8.0,6.0,6.0,6.0,8.89,8.47,8.27,10.02
A Nortje,1279,898,55,8.55,0.367,8.16,8.62,8.92,378.0,158.0,362.0,8.54,8.15,8.45,9.11
A Singh,639,473,31,8.11,0.393,7.0,7.38,10.14,264.0,48.0,161.0,8.15,7.21,7.72,10.16
A Symonds,694,527,23,7.9,0.262,5.79,7.95,10.63,114.0,330.0,83.0,7.96,6.59,7.96,10.46
A Uniyal,67,36,3,11.17,0.5,11.0,18.0,9.0,12.0,6.0,18.0,9.48,8.6,8.91,9.94
A Zampa,509,395,29,7.73,0.441,6.86,7.6,8.79,42.0,282.0,71.0,7.83,7.6,7.67,9.45
AA Chavan,339,248,8,8.2,0.194,6.83,9.53,13.71,144.0,90.0,14.0,8.25,7.21,8.92,10.88
AA Jhunjhunwala,130,85,1,9.18,0.071,9.4,9.0,12.0,30.0,54.0,1.0,8.88,8.54,8.47,10.25
AA Kazi,21,12,1,10.5,0.5,,10.5,,,12.0,,8.8,8.12,8.42,10.23
