Venue,venue_matches,venue_chase_wins,raw_venue_pct,venue_chase_win_pct
Arun Jaitley Stadium,24,13,54.2,54.0
Barabati Stadium,7,3,42.9,49.1
Barsapara Cricket Stadium,2,0,0.0,44.5
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,6,2,33.3,45.9
Brabourne Stadium,27,13,48.1,49.5
Buffalo Park,3,1,33.3,48.8
De Beers Diamond Oval,3,2,66.7,56.5
Dr DY Patil Sports Academy,37,20,54.1,54.0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13,7,53.8,53.6
Dubai International Cricket Stadium,43,22,51.2,51.6
Eden Gardens,86,51,59.3,58.7
Feroz Shah Kotla,59,32,54.2,54.1
Green Park,4,4,100.0,66.7
Himachal Pradesh Cricket Association Stadium,11,5,45.5,49.3
Holkar Cricket Stadium,9,8,88.9,70.2
JSCA International Stadium Complex,7,5,71.4,60.8
Kingsmead,15,7,46.7,49.4
M Chinnaswamy Stadium,69,39,56.5,56.1
M.Chinnaswamy Stadium,14,7,50.0,51.4
MA Chidambaram Stadium,74,30,40.5,42.0
Maharashtra Cricket Association Stadium,35,17,48.6,49.7
Narendra Modi Stadium,16,9,56.2,55.1
Nehru Stadium,5,2,40.0,48.9
New Wanderers Stadium,8,5,62.5,57.4
Newlands,6,2,33.3,45.9
OUTsurance Oval,2,1,50.0,52.8
Punjab Cricket Association IS Bindra Stadium,26,14,53.8,53.7
Punjab Cricket Association Stadium,35,20,57.1,56.3
Rajiv Gandhi International Stadium,70,39,55.7,55.4
Sardar Patel Stadium,11,5,45.5,49.3
Saurashtra Cricket Association Stadium,9,6,66.7,59.7
Sawai Mansingh Stadium,52,34,65.4,63.5
Shaheed Veer Narayan Singh International Stadium,6,4,66.7,58.4
Sharjah Cricket Stadium,28,18,64.3,61.4
Sheikh Zayed Stadium,27,16,59.3,57.7
St George's Park,7,4,57.1,54.9
Subrata Roy Sahara Stadium,16,6,37.5,43.6
SuperSport Park,12,8,66.7,60.7
Vidarbha Cricket Association Stadium,3,1,33.3,48.8
Wankhede Stadium,110,61,55.5,55.3
Zayed Cricket Stadium,8,5,62.5,57.4
